id,asset_bundle,created_date,closing_date,closing_extendable,expiration_time,listing_time,order_hash,metadata,exchange,maker,taker,current_price,current_bounty,bounty_multiple,maker_relayer_fee,taker_relayer_fee,maker_protocol_fee,taker_protocol_fee,maker_referrer_fee,fee_recipient,fee_method,side,sale_kind,target,how_to_call,calldata,replacement_pattern,static_target,static_extradata,payment_token,payment_token_contract,base_price,extra,quantity,salt,v,r,s,approved_on_chain,cancelled,finalized,marked_invalid,prefixed_hash,asset_unique_id,number_sales,creator_fee,description,external_link,image_url,animation_url
1408637414,,2021-10-30T23:13:16.988150,2021-10-31T23:13:04,False,1635721984,1635635487,0xff1bd9f6c911ee3e7edd13f59bf79a8f9849c04c0297bab240eb99acdc8dac6d,"{'asset': {'id': '2575', 'address': '0x5ab21ec0bfa0b29545230395e3adaca7d552c948'}, 'schema': 'ERC721', 'referrerAddress': 'UberBot3'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': None}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/33.png', 'address': '0xb9544f7e6bac1f7ff0dec76bb9f3fdfdd3010879', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",2.5e+18,25000000000000000,0.01,0,1000,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x5ab21ec0bfa0b29545230395e3adaca7d552c948,0,0x23b872dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b9544f7e6bac1f7ff0dec76bb9f3fdfdd30108790000000000000000000000000000000000000000000000000000000000000a0f,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",2500000000000000000,0,1,16879476395322492677462343140642396121090877471657643922797713188945144953115,27.0,0x4dc41be3ec5dc60cf3f1c43fd5751bbe3613421a37d21834563d2af262e5d9f9,0x5ca24be087c0637938a9b1b3fd3fe8a4c7020380dadfe0f08449caefaafbb444,False,False,False,False,0xd4e6d9e8b5bf2a63d0419b5cdcf81327802bbdcc891ba49950ea078802493b65,2575-0x5ab21ec0bfa0b29545230395e3adaca7d552c948,1,1000,"PUNKS Comic, Issue #1, May 2021",,https://lh3.googleusercontent.com/82FzHnHaES03UKtlqqb0Odb0e4nuHMZTVAvoUatWEAaNKQzlTUCgLj2BXmZax3Oh9XHXtXCa9aJKtIpKae6sCOJLagVi_cscLrbFO-U,
1408637413,,2021-10-30T23:13:16.973925,2021-10-31T00:13:16,False,1635639196,1635635496,0xf4147181c46f464d31dae4fb9d0b9d23c798e818ce7b52d57ff8cded068bbbd3,"{'asset': {'id': '5452', 'address': '0x7ea3cca10668b8346aec0bf1844a49e995527c8b'}, 'schema': 'ERC721'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': 'flash-prpatel05'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/19.png', 'address': '0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",8.62e+17,8620000000000000,0.01,0,500,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x7ea3cca10668b8346aec0bf1844a49e995527c8b,0,0x23b872dd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ecbba0ccb440e0d396456bacdb3ce2a716b96e5000000000000000000000000000000000000000000000000000000000000154c,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",862000000000000000,0,1,56742566975550769792308637901080849056391658954707539398471925768536265606341,28.0,0x65f41efa19d20869db12bf3f41cff45c80a5a85565da22875c37dbb982e0e87e,0x06d78bf3699bf55a5e41fac0171ca33843057efef37cbe490ce4fa633a97c4c9,False,False,False,False,0xd01b8704957c490e153a4babbdf3e214739af7189ced0981317861f317842382,5452-0x7ea3cca10668b8346aec0bf1844a49e995527c8b,1,500,,https://www.cyberkongz.com/kong-vx/5452,https://lh3.googleusercontent.com/hZauL6KNsh-NujM2UzOOHDAYq1GmerVpWaStORyFSDXJGXChcDI7qlU1i8SQDRDEzYxVaxjgeuawWLCTFzgOgIjFiaNgtDH4wFwjtUw,https://vxviewer.vercel.app/5452
1408637412,,2021-10-30T23:13:16.972626,2021-10-31T03:13:12,False,1635649992,1635635492,0xa01470337d099ded6eaee7e544b82ff1cc619c8b690065d35d4c7c4b9ab23941,"{'asset': {'id': '3050', 'address': '0xa7ee407497b2aeb43580cabe2b04026b5419d1dc'}, 'schema': 'ERC721', 'referrerAddress': ''}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': None, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/27.png', 'address': '0x93efeb4954d743d4c4588795709103732286a04e', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",1.718e+17,1718000000000000,0.01,0,750,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,0,0x23b872dd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000093efeb4954d743d4c4588795709103732286a04e0000000000000000000000000000000000000000000000000000000000000bea,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",171800000000000000,0,1,41846809534864424351300686141125012897130451611145110440413261940545382142235,28.0,0x437c98d69dc7aec192d8535c5caccb274441b1ab496a57fae39c2a036deec59e,0x37af360bcfd34a9bf805cb31336d98598be5f5021714c1812dfb43ba93b76608,False,False,False,False,0x32fa6c73fa1763c97b6b714a8a42023e78604cd37112ff1944d8e7534e8b7c08,3050-0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,0,750,"SuperlativeSS are 11,111 collectible NFT with Real World Utility. Superlative Secret Society is a collection of community-driven, programmatically, randomly generated NFTs using Ethereum blockchain technology. Inspired by primary personality traits.",https://superlativesecretsociety.com/,https://lh3.googleusercontent.com/aSTC53mqvcPhexPdlGHjnePbNvgkH0ss-mERCMOm7G4s_haaC5anX-CELHgcw88SAjSYhM7-FcHmVCd6kvsaxfbwMoxt0nSHs6UTbmw,
1408637411,,2021-10-30T23:13:16.965082,2021-10-31T03:13:00,False,1635649980,1635635480,0x29cf91b290495a39a25c06a5ca4f6d01b4315d08ff5e6c193617ab0ec7d6b1be,"{'asset': {'id': '1197', 'address': '0xfcb1315c4273954f74cb16d5b663dbf479eec62e'}, 'schema': 'ERC721', 'referrerAddress': ''}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': None}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/12.png', 'address': '0xc6ac70fa1ceb6437d2611acd892177bf7205b97a', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",1.326e+17,1326000000000000,0.01,0,500,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0xfcb1315c4273954f74cb16d5b663dbf479eec62e,0,0x23b872dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c6ac70fa1ceb6437d2611acd892177bf7205b97a00000000000000000000000000000000000000000000000000000000000004ad,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",132600000000000000,0,1,11902271393312090638380967805307719401823606898543835004490617177262603598104,28.0,0x4df655669d74e89ac5eb4ecd63bd9b017eb272d53bddd134a031f241c7f09c5c,0x6e893f36168c3a275efac1dd6bc5757acd6b4cfea563e6c240932165e81eb5f9,False,False,False,False,0xcf1f81570675df9d3d9a910ab0b6944851e6335998053a73730b9ea4a129370d,1197-0xfcb1315c4273954f74cb16d5b663dbf479eec62e,1,500,"Capsule House is a collection of 10,000 unique gachapon NFTs - a digital version of the collectible toys popular in Japan. With over 100 species, 60 variants, and endless combinations of traits, each Capsule NFT contains a verifiably rare and unique gachapon artwork. Holding a Capsule grants you to future drops from the team, as well as an all access pass to the expansion of the CAPSULEVerse. Visit https://capsulehouse.io for more details.",https://capsulehouse.io,https://lh3.googleusercontent.com/wCJygfZ-XtTehJ9PldBEs80gXT4t9dWVffBBIS9Xr7okQENJ7AjGYiIqX_7yyBjAW1G6tVe4pVsKYAt7u_EZ5dtadXLAEbADtWo7ilw,
1408637410,,2021-10-30T23:13:16.958641,2021-10-31T00:00:00,False,1635638400,1635635494,0xe45f51e96a6f51a43ddf660aa6aaa42ac579def6a4b6e91f9153c2c90be2dd6e,"{'asset': {'id': '9185', 'address': '0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7'}, 'schema': 'ERC721'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': 'KJ1I'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/30.png', 'address': '0x5793d0bed6851334c08d8b8391711aa7dc3311dc', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",3.2129999999999974e+18,32129999999999974,0.01,0,250,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,0,0x23b872dd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000005793d0bed6851334c08d8b8391711aa7dc3311dc00000000000000000000000000000000000000000000000000000000000023e1,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",3212999999999997400,0,1,35670652427234944987110203627971488707911221639607094586975648739937923264842,27.0,0x87f1dd143f59419a07a551ea7ae8114add4196453ebeae54a14b57ac820a28ea,0x59550894e1d6bc31d0ca13a0098bc4e94a66f7e722f3ce6f122e906b49325048,False,False,False,False,0x5328879b7ebec71b7ef356d29889ed53be5ae9b2c49b102dff37efaf55531f3d,9185-0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,0,250,Meebit #9185,,https://lh3.googleusercontent.com/sgxdp2Rsaywa-oeAWY9-hiWY252baAVHfdGBRrt7D5udbIlh0dqoQ7PN2BWddiF488EXPpIgzoUKiaEevlvUTK01VQR2hpwNxTP2HiA,
1408637409,,2021-10-30T23:13:16.957171,2021-10-31T00:43:05,False,1635640985,1635635485,0x40f15adb8c9f21e4f29a7631b2829ac0595a10a4c97f64d526ea43fe13babe6e,"{'asset': {'id': '7907', 'address': '0x099689220846644f87d1137665cded7bf3422747'}, 'schema': 'ERC721'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': None}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/22.png', 'address': '0xfad71e5afa827b1ab802647618946c2bfcb9ad0c', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",3.501e+17,3500999999999999,0.01,0,650,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x099689220846644f87d1137665cded7bf3422747,0,0x23b872dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fad71e5afa827b1ab802647618946c2bfcb9ad0c0000000000000000000000000000000000000000000000000000000000001ee3,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",350099999999999970,0,1,25025494467758517198469018626120185467994857906770452752405863047293863429222,28.0,0x591f82d161ef65b5b520fc5451a8a6d0a5904e23e14e1a74846c1137530b6ba2,0x4fbb7368d0778635e51799c0ed2e8475f58ef57ac7bf5ec02f74dc1d300fed64,False,False,False,False,0xf9533cc42fff89ea67a1b2250b11d4e58d3bf433674e60bb01e6474a01df1d6c,7907-0x099689220846644f87d1137665cded7bf3422747,0,650,Robotos is a collection of algorithmically generated droid characters designed by Pablo Stanley,,https://lh3.googleusercontent.com/4HVtWjCwfozcTc5kb2nLk8vMYVxd2xLnko0HRMeQUOft9Pii5-seELdFQpLZxtWLsgWi2WRYC7odDDd4rpTAGZiJ2jY9gEQV5orJ,
1408637408,,2021-10-30T23:13:16.951831,2021-10-31T03:13:13,False,1635649993,1635635493,0x1d85497d4167c1053eafe343d4e01f5f20388ce7c72cd963ff042084e9a7d8d3,"{'asset': {'id': '3306', 'address': '0xf4b6040a4b1b30f1d1691699a8f3bf957b03e463'}, 'schema': 'ERC721', 'referrerAddress': ''}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': None, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0xbe09eeb67251b5909137b685d7580e4522efe289', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",1.474e+17,1474000000000000,0.01,0,500,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0xf4b6040a4b1b30f1d1691699a8f3bf957b03e463,0,0x23b872dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000be09eeb67251b5909137b685d7580e4522efe2890000000000000000000000000000000000000000000000000000000000000cea,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",147400000000000000,0,1,24692097584306687102123074004834063538876838616503513166089422804841329221061,28.0,0x3bc4c13717f5c290b436b895551821685832db2f67620da74472c4c8658b05ba,0x22d441c3db1fbf7811e48f1e2f7544702d73b5a703825014ab093a74253dad74,False,False,False,False,0x53e8ec7ffa7c82d1b0300fadcb5c96a66dc8b429b65f0469ee8f8eb98b0a3dbc,3306-0xf4b6040a4b1b30f1d1691699a8f3bf957b03e463,1,500,This item is Genesis Mana used in Loot (for Adventurers),,https://storage.opensea.io/files/4ad868e537cfc9130e78d08cdf17822b.svg,
1408637407,,2021-10-30T23:13:16.940236,2021-10-31T00:51:30,False,1635641490,1635635450,0xe9c996f995c35ac63769737794fb80c09885036b76780175e802b72ceedc68fe,"{'asset': {'id': '1140', 'address': '0x0b0b186841c55d8a09d53db48dc8cab9dbf4dbd6'}, 'schema': 'ERC721', 'referrerAddress': ''}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': None}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/7.png', 'address': '0x9f9adc9ae6584dfc495f0393c3f6558500b351fc', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",2e+16,200000000000000,0.01,0,650,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x0b0b186841c55d8a09d53db48dc8cab9dbf4dbd6,0,0x23b872dd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000009f9adc9ae6584dfc495f0393c3f6558500b351fc0000000000000000000000000000000000000000000000000000000000000474,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",20000000000000000,0,1,26894625282460709227339423204753918031788830733148530752614783507141605246458,27.0,0x6c0277fdbb0641828d1096cadb1ecca95d442ca29b2a5274562b35660db64191,0x701ae91face039539637d042befaede3f72aec1c991304399ba8ca6e51d7c38f,False,False,False,False,0xfd2c9b0cd80faa7d0d43999e0818d028e50b8cb32001491b6cdb42c56416965e,1140-0x0b0b186841c55d8a09d53db48dc8cab9dbf4dbd6,1,650,"Satoshibles are a collection of randomized Satoshi characters! This is #1140 in a collection of 5000 unique ERC-721 tokens, all backed by IPFS file storage! Learn more here: https://satoshibles.com/token/1140",https://satoshibles.com/token/1140,https://lh3.googleusercontent.com/r_AEt0DiJHdiGjd8ODLNaqYv0gmxqdU1UC4EYrQOIlG_fNSEJSD9bkD9qIdDVG7hGgtt6kPfj8McDf89nMbn4Ns2g397FHz7x-D-,
1408637406,,2021-10-30T23:13:16.925084,2021-10-31T00:00:00,False,1635638400,1635635494,0xd2cd6762ed395772dadaa322ebab560be06590a4204daac06332177a2bee7be2,"{'asset': {'id': '24758', 'address': '0x60e4d786628fea6478f785a6d7e704777c86a7c6'}, 'schema': 'ERC721'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': 'KJ1V'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/26.png', 'address': '0x7a155cfff2f4e7d7cc3669e850bee1fc6efc988c', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",2.92062e+18,29206200000000000,0.01,0,500,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0,0x23b872dd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000007a155cfff2f4e7d7cc3669e850bee1fc6efc988c00000000000000000000000000000000000000000000000000000000000060b6,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",2920620000000000000,0,1,69333736794852887425912368245262179112333260983813436518538128557293445733038,27.0,0x4e6610e44f5f85308cdd1c653c1d37571754892dd68012182df3200dc653cfde,0x7682dcd10a3cce159c3ce8060ef216b1f91683bcbddf9ed1de5adc36d7cf3b58,False,False,False,False,0x3d60a96c7ca25059a22299f889d9e28fff9203463bfcb3a3d430f4c3071eefe5,24758-0x60e4d786628fea6478f785a6d7e704777c86a7c6,0,500,,,https://lh3.googleusercontent.com/N_H-peo364PL2KQLtM5XTGYJVbo12lxIcnXmPFbXG0e-uJK1tOifAzlca-BRPGYo14Oz5vguFOwftD6YhZN6lBKbaCvp_Qu5gUEh,
1408637405,,2021-10-30T23:13:16.914103,2021-10-31T23:13:11,False,1635721991,1635635494,0xa6c53e636051f9298b69611b919fef42fab9c9dcc67a68d0c9e2ff6feaa1004a,"{'asset': {'id': '2393', 'address': '0x099689220846644f87d1137665cded7bf3422747'}, 'schema': 'ERC721', 'referrerAddress': '0xD9728A9112426bB97Ef8366b4008E2f0b27B30a7'}",0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,"{'user': {'username': 'HeaterHendoLLC'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/19.png', 'address': '0xaecf820cdc3512b751f011b7067ef8927256e8da', 'config': ''}","{'user': {'username': 'NullAddress'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/1.png', 'address': '0x0000000000000000000000000000000000000000', 'config': ''}",3.923e+17,3923000000000000,0.01,0,650,0,0,0,"{'user': {'username': 'OS-Wallet'}, 'profile_img_url': 'https://storage.googleapis.com/opensea-static/opensea-profile/28.png', 'address': '0x5b3256965e7c3cf26e11fcaf296dfc8807c01073', 'config': 'verified'}",1,0,0,0x099689220846644f87d1137665cded7bf3422747,0,0x23b872dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000aecf820cdc3512b751f011b7067ef8927256e8da0000000000000000000000000000000000000000000000000000000000000959,0x00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4304.949999999999818000'}",392300000000000000,0,1,63389206598908913216186863044798135812883210974055055130946950768537380318909,27.0,0xa3543b6037df7916b240b6da4ff63e70977173ca5338b44869f0173d401aa75c,0x301583b9ccd405939166fb4bac5f4d7d98fe8f869efcb8bd413f591160e198aa,False,False,False,False,0x574c0edc6d0921c9dd353d343dc6aad94ed4831e669a482d85cfac01b49dd41b,2393-0x099689220846644f87d1137665cded7bf3422747,1,650,Robotos is a collection of algorithmically generated droid characters designed by Pablo Stanley,,https://lh3.googleusercontent.com/49iTW0Pv2yje1wnXFu1ECFXIJjplMqM229Xcigq883y7bnJGYBbZdFMGi9IBTJGvByylbH48JenqtHf43nsFVitSLbMxvL_AiBAelA,
